City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
119,udachny,66.4167,112.4,-9.22,82,10,8.1,RU,1698456529
120,san julian,21.0167,-102.1667,17.56,72,53,2.13,MX,1698456569
121,kenai,60.5544,-151.2583,6.05,65,0,2.06,US,1698456570
122,xichang,27.8964,102.2634,14.49,80,77,0.47,CN,1698456571
123,nazca,-14.8333,-74.95,18.73,81,100,2.79,PE,1698456572
124,haderslev,55.2538,9.4898,7.94,93,100,4.63,DK,1698456573
125,punta arenas,-53.15,-70.9167,2.06,69,20,7.72,CL,1698456051
126,lompoc,34.6391,-120.4579,17.19,79,0,11.18,US,1698456574
127,saint-francois,46.4154,3.9054,11.47,77,100,3.6,FR,1698456575
128,coahuayana de hidalgo,18.7,-103.6583,25.9,87,100,1.11,MX,1698456576
129,northam,51.0333,-4.2167,13.14,96,100,6.26,GB,1698456577
130,chupaca,-12.0667,-75.2833,14.94,66,99,1.91,PE,1698456578
131,vorkuta,67.5,64.0,-9.28,98,100,1.69,RU,1698456579
132,thabazimbi,-24.5917,27.4116,21.16,33,2,0.91,ZA,1698456580
133,berezovyy,51.6667,135.7,2.36,45,0,0.83,RU,1698456581
134,la'ie,21.6477,-157.9253,30.98,67,9,1.79,US,1698456581
135,malmberget,67.1753,20.6549,-6.69,100,100,0.0,SE,1698456582
136,trujillo,-8.116,-79.03,18.98,88,100,4.63,PE,1698456535
137,flying fish cove,-10.4217,105.6791,27.82,74,40,5.66,CX,1698456584
138,rosarito,32.3333,-117.0333,18.56,75,0,2.69,MX,1698456585
139,ghat,24.9647,10.1728,25.87,21,100,2.04,LY,1698456586
140,mirny,62.5353,113.9611,-0.98,63,100,7.15,RU,1698456587
141,lorengau,-2.0226,147.2712,29.62,66,36,4.16,PG,1698456588
142,mogocha,53.7333,119.7667,0.88,57,10,0.92,RU,1698456588
143,alaghsas,17.0187,8.0168,25.11,16,97,4.22,NE,1698456589
144,taber,49.8167,-112.1518,-9.0,82,19,5.14,CA,1698456590
145,gulf breeze,30.3571,-87.1639,23.32,94,0,2.06,US,1698456591
146,happy valley-goose bay,53.3168,-60.3315,-0.83,69,100,1.54,CA,1698456592
147,zouerate,22.7187,-12.4521,24.03,32,0,3.32,MR,1698456593
148,kabalo,-6.05,26.9167,20.39,90,100,0.94,CD,1698456594
149,hawaiian paradise park,19.5933,-154.9731,28.35,72,20,3.6,US,1698456594
150,belyye berega,53.2085,34.6641,2.64,100,100,3.5,RU,1698456364
151,primero de mayo,-32.2552,-58.4228,18.64,84,47,2.83,AR,1698456596
152,kapa'a,22.0752,-159.319,28.99,61,40,3.6,US,1698456597
153,alta,69.9689,23.2717,-6.41,83,20,2.06,NO,1698456598
154,axim,4.8699,-2.2405,25.11,90,12,2.08,GH,1698456599
155,san rafael,-34.6177,-68.3301,20.79,15,40,2.06,AR,1698456600
156,vetluzhskiy,58.3902,45.4654,-2.76,73,100,1.34,RU,1698456601
157,hermanus,-34.4187,19.2345,14.15,69,100,4.42,ZA,1698456602
158,pitimbu,-7.4706,-34.8086,26.33,70,97,6.81,BR,1698456603
159,vadso,70.0744,29.7487,-2.51,86,100,1.03,NO,1698456605
160,minas de marcona,-15.2119,-75.1103,13.79,92,100,4.98,PE,1698456607
161,bubaque,11.2833,-15.8333,27.41,80,1,5.14,GW,1698456608
162,enriquillo,17.9,-71.2333,26.22,82,46,2.88,DO,1698456609
163,polyarnyy,69.1989,33.4478,-3.0,90,100,4.2,RU,1698456610
164,melito di porto salvo,37.9222,15.7714,23.28,68,20,5.66,IT,1698456611
165,east london,-33.0153,27.9116,17.42,94,100,4.58,ZA,1698456378
166,chatellerault,46.8,0.5333,11.42,1,87,7.61,FR,1698456476
167,sao vicente,-23.9631,-46.3919,24.1,26,100,1.75,BR,1698456614
168,kolding,55.4904,9.4722,7.2,81,99,5.14,DK,1698456362
169,qamdo,31.1667,97.2333,0.23,54,100,1.0,CN,1698456616
170,qaqortoq,60.7167,-46.0333,0.48,59,100,0.6,GL,1698456617
171,bandar-e lengeh,26.5579,54.8807,27.57,56,0,0.49,IR,1698456618
172,daru,-9.0763,143.2092,25.99,85,100,3.66,PG,1698456618
173,suva,-18.1416,178.4415,27.71,65,75,5.66,FJ,1698456619
174,vakarai,55.6035,23.8213,0.29,93,100,4.3,LT,1698456620
175,kerikeri,-35.2268,173.9474,17.17,60,100,0.45,NZ,1698456621
176,bemidji,47.4736,-94.8803,-2.27,96,100,6.17,US,1698456622
177,kenora,49.8167,-94.4337,-1.46,86,75,2.06,CA,1698456623
178,shenjiamen,29.9576,122.298,20.35,52,100,2.93,CN,1698456624
179,shar,49.5886,81.0453,-1.32,52,100,2.01,KZ,1698456625
180,wingham,43.8879,-81.3114,19.27,87,100,6.85,CA,1698456626
181,picos,-7.0769,-41.4669,28.69,35,62,1.65,BR,1698456625
182,ust'-ilimsk,58.0006,102.6619,-0.87,50,6,4.92,RU,1698456628
183,nyurba,63.2842,118.3319,-0.91,85,100,4.06,RU,1698456629
184,ryotsu-minato,38.0833,138.4333,15.4,83,100,2.33,JP,1698456630
185,hovd,48.0056,91.6419,2.65,36,71,0.74,MN,1698456631
186,yaren,-0.5472,166.916,27.95,71,28,1.51,NR,1698456632
187,sault ste. marie,46.5168,-84.3333,8.16,87,100,6.17,CA,1698456633
188,mejit,10.2753,170.8646,28.23,75,37,4.58,MH,1698456634
189,thompson,55.7435,-97.8558,-2.91,93,100,2.06,CA,1698456634
190,zhengzhou,34.7578,113.6486,18.27,35,11,1.04,CN,1698456635
191,vernon,50.2581,-119.2691,2.2,44,4,0.51,CA,1698456636
192,vilyuysk,63.7553,121.6247,0.56,96,100,3.13,RU,1698456637
193,kavieng,-2.5744,150.7967,28.7,73,98,4.69,PG,1698456639
194,ukhta,63.5671,53.6835,-5.8,97,84,0.89,RU,1698456639
195,maslyanino,54.3436,84.2111,-3.77,68,49,4.26,RU,1698456640
196,bridgewater,44.3835,-64.5155,13.39,98,85,3.09,CA,1698456641
197,tsiombe,-25.3,45.4833,20.65,83,10,5.14,MG,1698456642
198,badger,64.8,-147.5333,-2.02,85,20,0.0,US,1698456643
199,harper,4.375,-7.7169,25.24,89,2,2.76,LR,1698456644
200,ancud,-41.8697,-73.8203,10.51,86,100,10.15,CL,1698456644
201,hasaki,35.7333,140.8333,19.22,54,35,3.26,JP,1698456645
202,vikulovo,56.8167,70.6107,-9.67,96,56,2.53,RU,1698456646
203,lionel town,17.8101,-77.2406,25.94,80,0,3.25,JM,1698456647
204,hami,42.8,93.45,12.92,35,100,3.87,CN,1698456648
205,bandarbeyla,9.4942,50.8122,26.2,81,91,5.45,SO,1698456649
206,china,25.7,-99.2333,29.1,56,37,10.28,MX,1698456565
207,usinsk,65.9939,57.5281,-16.07,98,13,0.89,RU,1698456545
208,namibe,-15.1961,12.1522,20.19,86,87,2.0,AO,1698456651
209,sola,-13.8833,167.55,26.7,77,40,2.38,VU,1698456652
210,san antonio de pale,-1.4014,5.6325,25.63,84,60,3.87,GQ,1698456653
211,arvin,35.2091,-118.8284,19.36,80,1,1.53,US,1698456654
212,bom jesus da lapa,-13.255,-43.4181,28.67,46,94,2.77,BR,1698456654
213,touros,-5.1989,-35.4608,25.88,79,20,7.2,BR,1698456655
214,pierre,44.3683,-100.351,-3.41,78,75,2.24,US,1698456656
215,raybag,16.4833,74.7833,20.36,53,3,2.07,IN,1698456657
216,saint-pierre,-21.3393,55.4781,23.82,64,0,2.57,RE,1698456658
217,nizao,18.25,-70.2,26.93,77,100,6.24,DO,1698456659
218,alakurtti,66.9672,30.3491,-5.1,86,96,0.75,RU,1698456660
219,kroya,-7.6331,109.2461,29.17,62,98,2.19,ID,1698456661
220,ola,59.5833,151.2833,1.75,66,100,3.06,RU,1698456662
221,evron,48.1564,-0.3997,10.9,89,100,6.84,FR,1698456662
222,lihue,21.9789,-159.3672,28.58,59,40,3.6,US,1698456663
223,sumusta as sultani,28.9167,30.85,22.5,66,2,4.01,EG,1698456664
224,sao joao do piaui,-8.3581,-42.2467,28.12,36,12,1.2,BR,1698456665
225,toliara,-23.35,43.6667,21.92,65,0,3.75,MG,1698456666
226,wailua homesteads,22.0669,-159.378,28.24,60,40,3.6,US,1698456667
227,uliastay,47.7417,96.8444,0.99,83,100,2.22,MN,1698456667
228,keflavik,64.0049,-22.5624,5.95,81,0,3.6,IS,1698456423
229,tshabong,-26.05,22.45,19.97,16,100,5.34,BW,1698456669
230,upington,-28.4478,21.2561,16.21,63,0,3.6,ZA,1698456670
231,vilyuchinsk,52.9306,158.4028,6.15,72,99,0.4,RU,1698456577
232,tateyama,34.9833,139.8667,19.09,63,4,2.42,JP,1698456672
233,crane,31.3974,-102.3501,18.64,77,90,8.47,US,1698456672
234,anadyr,64.75,177.4833,0.28,100,100,8.0,RU,1698456637
235,fortuna,40.5982,-124.1573,11.48,84,0,3.6,US,1698456674
236,zeya,53.75,127.2667,-3.06,64,22,1.12,RU,1698456675
237,mont-tremblant,46.1949,-74.6264,16.44,100,100,1.03,CA,1698456676
238,broome,42.2506,-75.833,20.21,80,0,4.63,US,1698456676
239,al hudaydah,14.7978,42.9545,29.06,73,97,5.86,YE,1698456677
240,arawa,-6.2132,155.5367,30.42,67,100,1.59,PG,1698456678
241,xining,36.6167,101.7667,7.99,39,0,0.95,CN,1698456679
242,mehtar lam,34.6714,70.2094,18.94,35,0,1.71,AF,1698456680
243,lata,40.1629,-8.3327,15.04,97,40,2.3,PT,1698456681
244,ordynskoye,54.3656,81.8994,-4.24,66,7,4.09,RU,1698456681
245,georgetown,5.4112,100.3354,28.86,92,20,3.6,MY,1698456622
246,walvis bay,-22.9575,14.5053,12.53,100,0,4.12,NA,1698456684
247,gusinoozyorsk,51.2833,106.5,3.27,72,78,10.58,RU,1698456685
248,abu jibeha,11.4562,31.2285,23.5,75,100,2.13,SD,1698456685
249,turpan,42.9333,89.1667,17.09,33,58,0.93,CN,1698456686
250,brazzaville,-4.2658,15.2832,23.25,86,90,0.34,CG,1698456652
251,i-n-salah,27.1935,2.4607,26.09,19,2,2.48,DZ,1698456690
252,sungai penuh,-2.0833,101.3833,24.73,55,81,1.05,ID,1698456690
253,launceston,-41.45,147.1667,15.8,58,100,9.77,AU,1698456691
254,celestun,20.8667,-90.4,26.91,69,48,7.6,MX,1698456692
255,petropavlovsk-kamchatsky,53.0452,158.6483,5.33,59,75,2.0,RU,1698456570
256,freetown,8.484,-13.2299,26.3,82,91,1.92,SL,1698456694
257,ouesso,1.6136,16.0517,19.86,97,100,0.71,CG,1698456695
258,kodiak,57.79,-152.4072,7.73,81,100,5.14,US,1698456696
259,ust-nera,64.5667,143.2,-11.79,94,92,1.19,RU,1698456696
260,andergrove,-21.0833,149.1833,28.14,58,30,8.53,AU,1698456697
261,kosong,38.3788,128.4676,16.27,68,50,1.89,KR,1698456698
262,longyearbyen,78.2186,15.6401,-3.09,80,75,2.06,SJ,1698456699
263,bhimunipatnam,17.8833,83.4333,23.73,77,69,2.47,IN,1698456700
264,tura,25.5198,90.2201,22.49,72,0,1.12,IN,1698456701
265,asadabad,34.7824,48.1185,5.97,49,100,0.6,IR,1698456701
266,bodo,67.28,14.405,1.02,98,100,4.12,NO,1698456702
267,tefe,-3.3542,-64.7114,26.15,81,81,1.12,BR,1698456704
268,diego martin,10.7005,-61.5342,25.78,87,62,2.83,TT,1698456705
269,richards bay,-28.783,32.0377,19.71,82,98,3.56,ZA,1698456706
270,bathsheba,13.2167,-59.5167,28.34,89,40,6.69,BB,1698456707
271,chone,-0.6833,-80.1,24.37,83,94,3.06,EC,1698456707
272,zemio,5.0314,25.1361,19.53,95,100,0.45,CF,1698456708
273,mount isa,-20.7333,139.5,31.87,11,80,5.14,AU,1698456709
274,manado,1.487,124.8455,30.43,48,20,2.06,ID,1698456710
275,howard springs,-12.497,131.047,34.34,55,19,2.7,AU,1698456711
276,puerto deseado,-47.7503,-65.8938,11.15,29,79,13.44,AR,1698456712
277,whakatane,-37.9585,176.9854,19.93,57,100,3.58,NZ,1698456713
278,wichita falls,33.9137,-98.4934,16.08,63,75,8.23,US,1698456714
279,choyr,46.3611,108.3611,8.66,24,86,1.43,MN,1698456714
280,tan-tan,28.438,-11.1032,20.72,89,100,4.42,MA,1698456715
281,sisimiut,66.9395,-53.6735,-3.64,81,100,3.5,GL,1698456716
282,ilha de mocambique,-15.0342,40.7358,25.47,79,0,1.93,MZ,1698456717
283,dazhou,31.2159,107.5009,17.31,77,65,0.21,CN,1698456718
284,bohain-en-vermandois,49.9873,3.453,10.48,89,100,7.4,FR,1698456719
285,lapeer,43.0514,-83.3188,21.27,68,100,5.66,US,1698456720
286,pasuquin,18.3328,120.6177,29.97,66,20,1.54,PH,1698456720
287,kargasok,59.0556,80.8572,-8.35,92,82,5.36,RU,1698456721
288,monticello,45.3055,-93.7941,1.1,84,100,6.17,US,1698456722
289,taco pozo,-25.6167,-63.2833,21.83,83,100,1.44,AR,1698456723
290,livny,52.4253,37.6069,3.88,100,100,2.83,RU,1698456723
291,belyy yar,53.6039,91.3903,-6.06,73,0,4.0,RU,1698456725
292,igarka,67.4667,86.5833,-11.87,90,93,4.41,RU,1698456726
293,kuqa,41.7278,82.9364,13.28,35,56,1.35,CN,1698456726
294,tiksi,71.6872,128.8694,-17.44,100,80,2.05,RU,1698456727
295,jumla,29.2747,82.1838,10.52,55,14,1.12,NP,1698456728
296,lalibela,12.0333,39.0333,13.99,86,100,0.64,ET,1698456729
297,hassi messaoud,31.6804,6.0729,18.92,34,0,1.03,DZ,1698456730
298,guiuan,11.0333,125.7247,28.52,72,7,1.91,PH,1698456731
299,jamestown,42.097,-79.2353,19.75,83,100,5.66,US,1698456731
300,parry sound,45.3501,-80.033,17.03,88,100,6.08,CA,1698456732
